"",mz,mzmin,mzmax,rt,rtmin,rtmax,Naive_007,Naive_027,Naive_071,Naive_109,Naive_127,Naive_139,QC_001,QC_003,QC_005,Semi_025,Semi_045,Semi_061,Semi_091,Semi_143,Semi_157,isotopes,adduct,pcgroup
"1823",296.801223155009,296.800622204528,296.863105359446,72.5166807537567,72.2047100117397,76.5444768035514,301717.730426399,442201.9611168,346300.738545001,278618.748606001,294357.9327955,151810.433109093,4485756.23118856,4676733.6378844,5049777.794022,2228644.20142676,2019696.89123271,2104901.56096883,2225414.30053035,2997082.9224615,2081233.22133951,"",[M+K]+ 257.834,20
"1824",296.957795455017,296.957420451865,296.958940656376,169.970910087758,168.992745356423,170.635971328393,1124896.42403709,692099.473505807,968488.247647556,1909495.48436263,464627.757139879,1074915.14181879,,,17749.034192888,4592155.33565728,4607048.82877688,5540254.43282188,2828875.36807519,3350232.55772743,6545933.90410658,"","",918
"1825",296.99077821192,296.863105295407,297.00930706872,80.7926130293266,77.9094118402453,84.2789649767995,,,,,,,511368.734430706,536942.2079268,518887.067771249,475492.42812,141154.9596,350528.711418,420968.672833579,387691.980462501,550843.752672001,"","",1872
"1826",296.927586193715,296.927110607166,296.927625739875,58.0339372517781,57.5282059339264,58.822451957072,,,,,,,1606523.72950353,1640616.72360395,1652876.05506384,108632.01679158,27119.3309058106,21159.8798266972,78926.0579361818,393323.47014633,164486.12843802,"",[M+H]+ 295.926,26
"1827",297.150777511232,297.147034727831,297.166482471792,149.258553135784,148.46337481435,149.574807761932,14201823.4701518,15159726.9384323,16811599.3347494,18013190.496751,16877732.126192,15933630.3679961,159431438.731934,160131498.48668,138576719.459074,14532500.4304597,12196620.3869505,14440143.5030612,15396038.273664,20511679.789458,15700489.7042721,[135][M+1]+,"",1
"1828",297.17835264615,297.131143341143,297.26235787919,23.8934425118063,23.5049527368109,24.2130820025094,,225785.446988667,68359.154885,118484.605250667,,129736.695114,206066.862990172,226536.4196061,261070.196973429,,125319.216669411,,319056.426813724,223223.098126737,,"",[M+K]+ 258.22,33
"1829",297.649002839304,297.648839591849,297.668017554767,148.909564777689,148.67940320715,149.803871378544,1943410.210216,2121428.96517181,2588503.01472637,1697133.53397576,2434530.87432852,2616472.69950768,43731982.3149553,47300270.8542197,37193528.7394718,4482274.20122716,4523309.22237212,4748325.87929804,4549282.167075,2182873.05810209,4249739.99285988,"","",136
"1830",297.856059077982,297.8559914964,297.856120605279,86.993034549027,86.5982108206153,87.7497972536433,,,,,,,423991.640292,409816.547166,317768.168117053,714951.988642588,161792.14184993,340111.684392,421916.289750375,648689.64188544,738283.737817143,"","",1260
"1831",298.025434482758,297.967867268995,298.026409852054,116.732919692608,115.357756500425,118.560664230026,6608616.22885717,5853620.227377,5381386.43247082,6017732.1031905,7493843.0183175,4949636.90978607,2053748.23698092,1408468.274739,3686821.38352447,1514618.39930667,1110669.644106,3972380.4397776,1288674.488898,1284344.70773143,2271352.14034667,"","",8
"1832",298.145117025395,298.053288323301,298.169478663083,149.092551948066,148.665747574893,154.435956213092,3971918.70935024,4548030.78160826,5469892.5127224,6139481.471838,4739280.76593638,5810084.19566294,5230820.7135996,6876226.54235636,5632618.64099199,8398677.67724737,8006325.67419306,7690715.20224,7525083.30049746,6629445.60560643,7174332.52188545,[135][M+2]+,"",1
"1833",297.971882033765,297.971240794568,298.129306847355,87.2124762900446,86.5380198191821,87.5256008772359,4723029.06818043,,,,,,786818.062098622,858258.919516364,728471.18941477,165994.118729454,9780.86613354813,46053.5380252747,135718.822517355,513903.295491999,183658.614659721,"","",1215
"1834",298.17854325934,298.178147831893,298.274708208586,24.0464429825318,23.5724146435051,24.7896486250905,321043.88066359,385840.899278,244517.0767692,478434.22756344,302803.270258887,602084.456183455,867685.6022496,802579.5127746,738267.47109405,296496.140414544,149269.78048275,392509.88898975,344656.225576473,993198.774437571,787163.05429922,"","",33
"1835",298.222725073377,298.222673075355,298.223093780437,31.4697069835603,30.8470949094543,31.7415852474645,,,,,,2305.34082209495,,,,1234993.70419643,252466.573072044,939581.996164186,1137422.96615827,2028172.89967429,1878151.490397,"","",2448
"1836",298.625933756222,298.625850899889,298.627201399291,153.005021863929,152.339654718309,153.666504383287,1733195.6385975,3418780.30430357,3279459.32108571,3282296.51509971,3908886.54045,2472305.0450728,,,,1976956.8154531,2816277.35452026,3067002.72815109,3751549.84780254,3070532.58411232,2436165.67006981,[136][M]+,"",785
"1837",298.79827707785,298.724500680339,298.799283107712,72.7018549434991,72.2047100117397,77.8350730843392,343807.07174,482446.644790153,256527.376987636,334813.786915909,349246.882690999,133356.635677802,4857303.27806086,4914637.84268087,5148295.7975475,2409146.9056234,2077095.12989131,2168171.1826891,2251515.7437102,3120694.76035294,2172250.063386,"",[M+2Na]2+ 551.626,20
